Student_ID,Total_Classes,Attended,Attendance_Percentage,Status,Dropout_Risk,Feedback,Sentiment
S00001,39.0,27.0,69.23076923076923,Shortage,Medium Risk,The classes are very interesting and easy to understand.,POSITIVE
S00002,25.0,14.0,56.00000000000001,Shortage,Medium Risk,Faculty explains every topic clearly.,POSITIVE
S00003,25.0,17.0,68.0,Shortage,Medium Risk,I enjoy attending practical sessions.,POSITIVE
S00004,24.0,13.0,54.16666666666666,Shortage,Medium Risk,The attendance system works well.,POSITIVE
S00005,29.0,20.0,68.96551724137932,Shortage,Medium Risk,Teaching quality is excellent.,POSITIVE
S00006,20.0,12.0,60.0,Shortage,Medium Risk,The assignments are useful for learning.,POSITIVE
S00007,29.0,21.0,72.41379310344827,Shortage,Medium Risk,The classes are boring sometimes.,NEGATIVE
S00008,34.0,21.0,61.76470588235294,Shortage,Medium Risk,Too many assignments are given.,NEGATIVE
S00009,39.0,26.0,66.66666666666666,Shortage,Medium Risk,Attendance marking is sometimes incorrect.,NEGATIVE
S00010,30.0,22.0,73.33333333333333,Shortage,Medium Risk,The faculty is supportive and friendly.,POSITIVE
S00011,35.0,23.0,65.71428571428571,Shortage,Medium Risk,The timetable is difficult to follow.,NEGATIVE
S00012,29.0,18.0,62.06896551724138,Shortage,Medium Risk,Practical sessions are very helpful.,POSITIVE
S00013,26.0,17.0,65.38461538461539,Shortage,Medium Risk,I am satisfied with the teaching methods.,POSITIVE
S00014,32.0,19.0,59.375,Shortage,Medium Risk,The classroom environment is noisy.,NEGATIVE
S00015,25.0,15.0,60.0,Shortage,Medium Risk,Attendance tracking is accurate.,POSITIVE
S00016,34.0,20.0,58.82352941176471,Shortage,Medium Risk,I need more practical examples in class.,NEGATIVE
S00017,27.0,20.0,74.07407407407408,Shortage,Medium Risk,Faculty motivates students to learn.,POSITIVE
S00018,26.0,17.0,65.38461538461539,Shortage,Medium Risk,The attendance portal is slow sometimes.,NEGATIVE
S00019,32.0,21.0,65.625,Shortage,Medium Risk,The learning materials are excellent.,POSITIVE
S00020,34.0,21.0,61.76470588235294,Shortage,Medium Risk,Overall I am happy with the course.,POSITIVE
S00021,31.0,22.0,70.96774193548387,Shortage,Medium Risk,Good teaching,
S00022,32.0,22.0,68.75,Shortage,Medium Risk,,
S00023,26.0,17.0,65.38461538461539,Shortage,Medium Risk,,
S00024,34.0,21.0,61.76470588235294,Shortage,Medium Risk,,
S00025,29.0,17.0,58.620689655172406,Shortage,Medium Risk,,
S00026,34.0,16.0,47.05882352941176,Shortage,High Risk,,
S00027,31.0,22.0,70.96774193548387,Shortage,Medium Risk,,
S00028,31.0,21.0,67.74193548387096,Shortage,Medium Risk,,
S00029,32.0,22.0,68.75,Shortage,Medium Risk,,
S00030,36.0,27.0,75.0,Safe,Low Risk,,
S00031,23.0,14.0,60.86956521739131,Shortage,Medium Risk,,
S00032,36.0,23.0,63.888888888888886,Shortage,Medium Risk,,
S00033,25.0,15.0,60.0,Shortage,Medium Risk,,
S00034,25.0,10.0,40.0,Shortage,High Risk,,
S00035,29.0,24.0,82.75862068965517,Safe,Low Risk,,
S00036,35.0,22.0,62.85714285714285,Shortage,Medium Risk,,
S00037,33.0,19.0,57.57575757575758,Shortage,Medium Risk,,
S00038,31.0,20.0,64.51612903225806,Shortage,Medium Risk,,
S00039,36.0,21.0,58.333333333333336,Shortage,Medium Risk,,
S00040,24.0,13.0,54.16666666666666,Shortage,Medium Risk,,
S00041,25.0,12.0,48.0,Shortage,High Risk,,
S00042,36.0,23.0,63.888888888888886,Shortage,Medium Risk,,
S00043,34.0,21.0,61.76470588235294,Shortage,Medium Risk,,
S00044,33.0,20.0,60.60606060606061,Shortage,Medium Risk,,
S00045,35.0,23.0,65.71428571428571,Shortage,Medium Risk,,
S00046,37.0,24.0,64.86486486486487,Shortage,Medium Risk,,
S00047,34.0,19.0,55.88235294117647,Shortage,Medium Risk,,
S00048,27.0,16.0,59.25925925925925,Shortage,Medium Risk,,
S00049,43.0,30.0,69.76744186046511,Shortage,Medium Risk,,
S00050,25.0,17.0,68.0,Shortage,Medium Risk,,
S00051,31.0,15.0,48.38709677419355,Shortage,High Risk,,
S00052,22.0,14.0,63.63636363636363,Shortage,Medium Risk,,
S00053,23.0,16.0,69.56521739130434,Shortage,Medium Risk,,
S00054,43.0,17.0,39.53488372093023,Shortage,High Risk,,
S00055,30.0,18.0,60.0,Shortage,Medium Risk,,
S00056,27.0,15.0,55.55555555555556,Shortage,Medium Risk,,
S00057,27.0,16.0,59.25925925925925,Shortage,Medium Risk,,
S00058,19.0,11.0,57.89473684210527,Shortage,Medium Risk,,
S00059,32.0,22.0,68.75,Shortage,Medium Risk,,
S00060,31.0,19.0,61.29032258064516,Shortage,Medium Risk,,
S00061,28.0,20.0,71.42857142857143,Shortage,Medium Risk,,
S00062,36.0,19.0,52.77777777777778,Shortage,Medium Risk,,
S00063,29.0,19.0,65.51724137931035,Shortage,Medium Risk,,
S00064,26.0,13.0,50.0,Shortage,Medium Risk,,
S00065,33.0,22.0,66.66666666666666,Shortage,Medium Risk,,
S00066,40.0,26.0,65.0,Shortage,Medium Risk,,
S00067,23.0,11.0,47.82608695652174,Shortage,High Risk,,
S00068,33.0,20.0,60.60606060606061,Shortage,Medium Risk,,
S00069,31.0,16.0,51.61290322580645,Shortage,Medium Risk,,
S00070,27.0,17.0,62.96296296296296,Shortage,Medium Risk,,
S00071,29.0,19.0,65.51724137931035,Shortage,Medium Risk,,
S00072,28.0,17.0,60.71428571428571,Shortage,Medium Risk,,
S00073,22.0,12.0,54.54545454545454,Shortage,Medium Risk,,
S00074,39.0,25.0,64.1025641025641,Shortage,Medium Risk,,
S00075,29.0,20.0,68.96551724137932,Shortage,Medium Risk,,
S00076,32.0,20.0,62.5,Shortage,Medium Risk,,
S00077,27.0,12.0,44.44444444444444,Shortage,High Risk,,
S00078,32.0,22.0,68.75,Shortage,Medium Risk,,
S00079,28.0,17.0,60.71428571428571,Shortage,Medium Risk,,
S00080,34.0,20.0,58.82352941176471,Shortage,Medium Risk,,
S00081,33.0,15.0,45.45454545454545,Shortage,High Risk,,
S00082,34.0,21.0,61.76470588235294,Shortage,Medium Risk,,
S00083,29.0,15.0,51.72413793103448,Shortage,Medium Risk,,
S00084,32.0,23.0,71.875,Shortage,Medium Risk,,
S00085,35.0,29.0,82.85714285714286,Safe,Low Risk,,
S00086,29.0,13.0,44.82758620689656,Shortage,High Risk,,
S00087,36.0,25.0,69.44444444444444,Shortage,Medium Risk,,
S00088,33.0,13.0,39.39393939393939,Shortage,High Risk,,
S00089,33.0,20.0,60.60606060606061,Shortage,Medium Risk,,
S00090,28.0,20.0,71.42857142857143,Shortage,Medium Risk,,
S00091,23.0,13.0,56.52173913043478,Shortage,Medium Risk,,
S00092,32.0,20.0,62.5,Shortage,Medium Risk,,
S00093,31.0,13.0,41.935483870967744,Shortage,High Risk,,
S00094,27.0,14.0,51.85185185185185,Shortage,Medium Risk,,
S00095,29.0,21.0,72.41379310344827,Shortage,Medium Risk,,
S00096,27.0,18.0,66.66666666666666,Shortage,Medium Risk,,
S00097,30.0,18.0,60.0,Shortage,Medium Risk,,
S00098,32.0,24.0,75.0,Safe,Low Risk,,
S00099,36.0,23.0,63.888888888888886,Shortage,Medium Risk,,
S00100,38.0,23.0,60.526315789473685,Shortage,Medium Risk,,
S00101,41.0,24.0,58.53658536585365,Shortage,Medium Risk,,
S00102,24.0,15.0,62.5,Shortage,Medium Risk,,
S00103,38.0,26.0,68.42105263157895,Shortage,Medium Risk,,
S00104,38.0,23.0,60.526315789473685,Shortage,Medium Risk,,
S00105,26.0,14.0,53.84615384615385,Shortage,Medium Risk,,
S00106,32.0,23.0,71.875,Shortage,Medium Risk,,
S00107,27.0,16.0,59.25925925925925,Shortage,Medium Risk,,
S00108,48.0,24.0,50.0,Shortage,Medium Risk,,
S00109,34.0,18.0,52.94117647058824,Shortage,Medium Risk,,
S00110,33.0,20.0,60.60606060606061,Shortage,Medium Risk,,
S00111,29.0,17.0,58.620689655172406,Shortage,Medium Risk,,
S00112,31.0,23.0,74.19354838709677,Shortage,Medium Risk,,
S00113,29.0,20.0,68.96551724137932,Shortage,Medium Risk,,
S00114,31.0,17.0,54.83870967741935,Shortage,Medium Risk,,
S00115,30.0,21.0,70.0,Shortage,Medium Risk,,
S00116,27.0,19.0,70.37037037037037,Shortage,Medium Risk,,
S00117,36.0,23.0,63.888888888888886,Shortage,Medium Risk,,
S00118,25.0,19.0,76.0,Safe,Low Risk,,
S00119,27.0,14.0,51.85185185185185,Shortage,Medium Risk,,
S00120,43.0,30.0,69.76744186046511,Shortage,Medium Risk,,
S00121,35.0,21.0,60.0,Shortage,Medium Risk,,
S00122,40.0,20.0,50.0,Shortage,Medium Risk,,
S00123,19.0,12.0,63.1578947368421,Shortage,Medium Risk,,
S00124,29.0,15.0,51.72413793103448,Shortage,Medium Risk,,
S00125,21.0,14.0,66.66666666666666,Shortage,Medium Risk,,
S00126,23.0,12.0,52.17391304347826,Shortage,Medium Risk,,
S00127,31.0,23.0,74.19354838709677,Shortage,Medium Risk,,
S00128,34.0,23.0,67.64705882352942,Shortage,Medium Risk,,
S00129,38.0,24.0,63.1578947368421,Shortage,Medium Risk,,
S00130,32.0,16.0,50.0,Shortage,Medium Risk,,
S00131,27.0,20.0,74.07407407407408,Shortage,Medium Risk,,
S00132,28.0,15.0,53.57142857142857,Shortage,Medium Risk,,
S00133,32.0,24.0,75.0,Safe,Low Risk,,
S00134,27.0,20.0,74.07407407407408,Shortage,Medium Risk,,
S00135,33.0,15.0,45.45454545454545,Shortage,High Risk,,
S00136,39.0,21.0,53.84615384615385,Shortage,Medium Risk,,
S00137,35.0,18.0,51.42857142857142,Shortage,Medium Risk,,
S00138,42.0,32.0,76.19047619047619,Safe,Low Risk,,
S00139,24.0,16.0,66.66666666666666,Shortage,Medium Risk,,
S00140,29.0,20.0,68.96551724137932,Shortage,Medium Risk,,
S00141,34.0,23.0,67.64705882352942,Shortage,Medium Risk,,
S00142,30.0,14.0,46.66666666666666,Shortage,High Risk,,
S00143,40.0,30.0,75.0,Safe,Low Risk,,
S00144,32.0,22.0,68.75,Shortage,Medium Risk,,
S00145,26.0,12.0,46.15384615384615,Shortage,High Risk,,
S00146,31.0,22.0,70.96774193548387,Shortage,Medium Risk,,
S00147,32.0,21.0,65.625,Shortage,Medium Risk,,
S00148,31.0,19.0,61.29032258064516,Shortage,Medium Risk,,
S00149,37.0,19.0,51.35135135135135,Shortage,Medium Risk,,
S00150,40.0,31.0,77.5,Safe,Low Risk,,
S00151,31.0,20.0,64.51612903225806,Shortage,Medium Risk,,
S00152,18.0,10.0,55.55555555555556,Shortage,Medium Risk,,
S00153,35.0,18.0,51.42857142857142,Shortage,Medium Risk,,
S00154,35.0,18.0,51.42857142857142,Shortage,Medium Risk,,
S00155,30.0,20.0,66.66666666666666,Shortage,Medium Risk,,
S00156,32.0,24.0,75.0,Safe,Low Risk,,
S00157,28.0,23.0,82.14285714285714,Safe,Low Risk,,
S00158,25.0,22.0,88.0,Safe,Low Risk,,
S00159,31.0,22.0,70.96774193548387,Shortage,Medium Risk,,
S00160,37.0,23.0,62.16216216216216,Shortage,Medium Risk,,
S00161,26.0,17.0,65.38461538461539,Shortage,Medium Risk,,
S00162,26.0,18.0,69.23076923076923,Shortage,Medium Risk,,
S00163,32.0,21.0,65.625,Shortage,Medium Risk,,
S00164,35.0,22.0,62.85714285714285,Shortage,Medium Risk,,
S00165,20.0,14.0,70.0,Shortage,Medium Risk,,
